,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots,yKNNInd,ySVMInd,yKNNMulti,ySVMMulti
155,0.847,0.845,0.5,0.5,0.852,0.852,0.654,0.665,0.5060080619987698,0.509032357198482,0.5,20,1,58,0.845,0.854,0.826,0.5
156,0.85,0.854,0.5,0.5,0.854,0.852,0.655,0.666,0.5028164147997515,0.4995678475596271,0.5,20,1,59,0.845,0.855,0.826,0.5
157,0.853,0.854,0.5,0.5,0.854,0.853,0.66,0.667,0.4993429818025741,0.4995821724101729,0.5,20,1,60,0.844,0.855,0.826,0.5
158,0.85,0.854,0.5,0.5,0.854,0.852,0.664,0.672,0.499363310089009,0.49959579601716914,0.5,20,1,61,0.844,0.855,0.826,0.5
159,0.848,0.856,0.5,0.5,0.855,0.854,0.654,0.664,0.49634652875800755,0.49947739686832715,0.5,20,1,62,0.843,0.855,0.826,0.5
160,0.848,0.855,0.5,0.5,0.855,0.851,0.657,0.665,0.49961851386247197,0.49949392660706426,0.5,20,1,63,0.843,0.855,0.826,0.5
161,0.849,0.856,0.5,0.5,0.856,0.853,0.666,0.67,0.49347216005454747,0.5051040549338109,0.5,20,1,64,0.843,0.853,0.826,0.5
162,0.851,0.856,0.5,0.5,0.853,0.852,0.695,0.702,0.5023515115296235,0.49952471439943646,0.5,20,1,65,0.842,0.854,0.826,0.5
163,0.851,0.855,0.5,0.5,0.854,0.853,0.701,0.708,0.5023027631808733,0.49953906390880465,0.5,20,1,66,0.842,0.854,0.826,0.5
164,0.851,0.855,0.5,0.5,0.854,0.852,0.727,0.733,0.5025930704214693,0.49955277245078267,0.5,20,1,67,0.842,0.854,0.826,0.5
165,0.855,0.857,0.5,0.5,0.853,0.852,0.738,0.743,0.5025385203215335,0.4995658776844589,0.5,20,1,68,0.841,0.856,0.826,0.5
166,0.852,0.853,0.5,0.5,0.853,0.851,0.731,0.736,0.5024862606381806,0.4995784145400771,0.5,20,1,69,0.843,0.854,0.826,0.5
167,0.853,0.856,0.5,0.5,0.853,0.852,0.738,0.743,0.5024361487994229,0.49959041545318944,0.5,20,1,70,0.843,0.854,0.826,0.5
