,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
141,0.848,0.843,0.842,0.843,0.848,0.849,0.848,0.849,0.5093096399530432,0.5042757096331936,0.5,20,1,44
142,0.847,0.842,0.842,0.843,0.851,0.85,0.85,0.85,0.49909824809256265,0.5054867719976861,0.5,20,1,45
143,0.846,0.84,0.842,0.843,0.851,0.852,0.851,0.852,0.4958983291472242,0.504886160157823,0.5,20,1,46
144,0.847,0.84,0.842,0.843,0.851,0.852,0.851,0.852,0.49585774336006966,0.5052811207179253,0.5,20,1,47
145,0.845,0.839,0.842,0.843,0.851,0.852,0.851,0.852,0.49520650308926306,0.5043016100251393,0.5,20,1,48
146,0.845,0.84,0.842,0.843,0.851,0.852,0.851,0.852,0.49516471094481107,0.5029522196670184,0.5,20,1,49
147,0.843,0.84,0.842,0.843,0.851,0.853,0.851,0.853,0.4935628218842989,0.5024237940563357,0.5,20,1,50
148,0.845,0.84,0.842,0.843,0.85,0.851,0.85,0.851,0.4990381216804665,0.5041710588926771,0.5,20,1,51
149,0.845,0.841,0.842,0.843,0.85,0.849,0.85,0.849,0.5012971132936093,0.5094420091309283,0.5,20,1,52
150,0.846,0.842,0.842,0.843,0.85,0.85,0.85,0.85,0.5002473180372398,0.5031093003486884,0.5,20,1,53
151,0.847,0.843,0.842,0.843,0.851,0.849,0.851,0.85,0.5059048074815271,0.5027924973926954,0.5,20,1,54
152,0.847,0.845,0.842,0.843,0.85,0.85,0.85,0.85,0.504703037914788,0.501292855445044,0.5,20,1,55
153,0.844,0.843,0.842,0.843,0.852,0.849,0.851,0.849,0.49438421776939395,0.5042513316633516,0.5,20,1,56
154,0.847,0.845,0.842,0.843,0.85,0.849,0.85,0.85,0.49409138185720863,0.5047412116098147,0.5,20,1,57
155,0.848,0.844,0.842,0.843,0.85,0.85,0.85,0.85,0.5012060663813174,0.506713230306699,0.5,20,1,58
156,0.848,0.848,0.842,0.843,0.849,0.85,0.85,0.851,0.5079639518082331,0.5120423321132491,0.5,20,1,59
157,0.847,0.847,0.842,0.843,0.85,0.851,0.85,0.851,0.506784484285814,0.5102530064892221,0.5,20,1,60
158,0.848,0.846,0.842,0.843,0.851,0.85,0.851,0.851,0.5071581802222708,0.5043624625659638,0.5,20,1,61
159,0.848,0.843,0.842,0.843,0.851,0.85,0.851,0.851,0.5019812438390735,0.505499564817456,0.5,20,1,62
160,0.848,0.843,0.842,0.843,0.851,0.85,0.851,0.85,0.5027760868845386,0.50551227486723,0.5,20,1,63
161,0.845,0.846,0.842,0.843,0.851,0.85,0.852,0.85,0.5017034463399987,0.5046380973443227,0.5,20,1,64
162,0.846,0.846,0.842,0.843,0.852,0.85,0.852,0.85,0.501776348499235,0.5042691912638437,0.5,20,1,65
163,0.845,0.846,0.842,0.843,0.851,0.85,0.852,0.85,0.5020416430519032,0.504872043197935,0.5,20,1,66
164,0.847,0.845,0.842,0.843,0.851,0.85,0.851,0.85,0.5014421259109758,0.5038251337111921,0.5,20,1,67
165,0.847,0.847,0.842,0.843,0.851,0.851,0.851,0.851,0.5063817025572309,0.5034347127984902,0.5,20,1,68
166,0.845,0.848,0.842,0.843,0.851,0.85,0.852,0.85,0.5054597051577554,0.5045418794173402,0.5,20,1,69
167,0.847,0.849,0.842,0.843,0.852,0.851,0.852,0.851,0.5048210258103668,0.5042935828302859,0.5,20,1,70
168,0.844,0.85,0.842,0.843,0.851,0.848,0.852,0.849,0.4997038965278643,0.501389023480151,0.5,20,1,71
