,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
83,0.843,0.841,0.513,0.513,0.844,0.842,0.835,0.831,[0.73417705 0.73720214],[0.74375145 0.7393968 ],[0.73858558 0.73890457],[0.75205728 0.74536686],0.5,20,51,86,0.7356895957231753,0.7415741249380521,0.7387450710369232,0.7487120724654515
84,0.844,0.84,0.513,0.513,0.844,0.843,0.835,0.831,[0.73663699 0.74032029],[0.74591789 0.74190598],[0.73938291 0.73933834],[0.7513131  0.74625311],0.5,20,51,87,0.7384786404265645,0.7439119338202624,0.7393606225050433,0.748783102786133
85,0.845,0.841,0.513,0.513,0.844,0.842,0.834,0.832,[0.73771546 0.74016756],[0.74589483 0.74199944],[0.74150571 0.73816446],[0.75147258 0.74617779],0.5,20,51,88,0.7389415112705809,0.7439471334757639,0.7398350877844723,0.7488251828404424
86,0.843,0.84,0.513,0.513,0.843,0.842,0.838,0.833,[0.73863133 0.73951497],[0.74684585 0.74315585],[0.73814156 0.73642412],[0.75054837 0.74677386],0.5,20,51,89,0.7390731471038581,0.7450008451453111,0.7372828384179292,0.748661111760081
87,0.845,0.842,0.513,0.513,0.843,0.843,0.838,0.835,[0.73953886 0.74041023],[0.7469536  0.74370521],[0.74419383 0.74252606],[0.75599308 0.75257144],0.5,20,51,90,0.7399745438580513,0.745329406602195,0.7433599419363279,0.7542822617588321
88,0.844,0.841,0.513,0.513,0.843,0.842,0.837,0.836,[0.74043823 0.74081411],[0.74787783 0.74417462],[0.74250498 0.73942341],[0.75440867 0.75142744],0.5,20,51,91,0.7406261714271878,0.7460262260145436,0.7409641961131579,0.752918054676424
89,0.844,0.843,0.513,0.513,0.843,0.842,0.837,0.837,[0.74132962 0.73971399],[0.74929917 0.74666826],[0.74132962 0.73881852],[0.75540703 0.75390556],0.5,20,51,92,0.7405218013523972,0.747983714189892,0.7400740673612249,0.7546562917235331
90,0.843,0.84,0.513,0.513,0.839,0.841,0.838,0.837,[0.74216892 0.73770836],[0.75064355 0.74816108],[0.73973487 0.73629091],[0.75349535 0.75194097],0.5,20,51,93,0.7399386362901674,0.7494023132806023,0.7380128918334448,0.7527181627463599
91,0.845,0.843,0.513,0.513,0.839,0.839,0.836,0.834,[0.74157057 0.73720776],[0.74880451 0.74670649],[0.73868995 0.73575965],[0.75251824 0.74896685],0.5,20,51,94,0.7393891661912015,0.7477555010553439,0.7372247993233407,0.7507425462014807
92,0.845,0.841,0.513,0.513,0.839,0.841,0.836,0.835,[0.74291749 0.73861715],[0.74935099 0.74716809],[0.73962338 0.7367362 ],[0.75323461 0.74984782],0.5,20,51,95,0.7407673194849574,0.7482595354899465,0.7381797901664986,0.7515412132100147
93,0.844,0.843,0.513,0.513,0.84,0.841,0.837,0.835,[0.74514168 0.74334501],[0.75251877 0.75047706],[0.74469446 0.74246974],[0.7599954  0.75631088],0.5,20,51,96,0.7442433450407815,0.7514979144380882,0.7435820997127831,0.758153140151512
94,0.843,0.844,0.513,0.513,0.842,0.841,0.839,0.837,[0.74599202 0.74374998],[0.75337845 0.75125013],[0.74555105 0.74380287],[0.76003585 0.75683913],0.5,20,51,97,0.7448709999798331,0.7523142887610592,0.744676963497256,0.7584374889142405
95,0.844,0.841,0.513,0.513,0.84,0.841,0.836,0.834,[0.74505475 0.7422403 ],[0.75203359 0.74977735],[0.74181799 0.73991469],[0.75571687 0.75256421],0.5,20,51,98,0.7436475248242811,0.750905471344373,0.7408663400752845,0.7541405383979998
96,0.845,0.843,0.513,0.513,0.843,0.841,0.839,0.835,[0.74547476 0.74401896],[0.75336982 0.75150063],[0.74547476 0.74316925],[0.76018618 0.75747081],0.5,20,51,99,0.7447468584967614,0.7524352277964045,0.744322004319194,0.7588284904510818
97,0.843,0.844,0.513,0.513,0.843,0.843,0.842,0.836,[0.74621408 0.74629363],[0.75395288 0.75162626],[0.74672633 0.74632867],[0.76321766 0.75908815],0.5,20,51,100,0.746253855089225,0.7527895718897338,0.7465274975519991,0.7611529059143944
98,0.843,0.844,0.513,0.513,0.844,0.844,0.839,0.836,[0.74706944 0.74714726],[0.75480889 0.75263397],[0.74757403 0.74718151],[0.76302252 0.75964233],0.5,20,51,101,0.7471083467100987,0.7537214334748199,0.7473777676084561,0.7613324247464509
99,0.846,0.844,0.513,0.513,0.844,0.843,0.84,0.838,[0.74827167 0.74940217],[0.75377249 0.75343865],[0.74925715 0.74982768],[0.76339037 0.76238493],0.5,20,51,102,0.7488369239283377,0.7536055735621079,0.7495424133774082,0.7628876509266866
